ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
1,0.057705739328942844,0.09333753140401936,0.02609818658809191,0.037441834899074544,0.4941034575703876,0.049760636493206487,0.01692613038898971,0.6482225546348258,0.0423487350222159,0.09798126916868116,0.020675868108459592,0.036405535033170705,0.07513482607575703,0.039855061567812204,0.03627199494791593,0.08906829170581354,0.0007930638238134071,0.6794428681793644,0.05045849691326422,0.014032694915610273,0.013544905990135001,0.08995182896341204,0.027510151632606384,0.01785220190882573
4,0.13449332764360203,0.06710095614305607,0.0253432289947345,0.07185941835206379,0.2161568044951411,0.3283465078590383,0.07516569449506463,0.5928805282725431,0.038812455097342984,0.039710408740360484,0.020174856165556528,0.030693843356194923,0.027123084862937376,0.019451072866905676,0.028582773852559005,0.05070344424823949,0.0007930638066901016,0.12472576491225881,0.02420694065045378,0.011414272367109521,0.014131287037974498,0.1527521258661198,0.032670096426135185,0.0208639100028444
5,0.059253269798124855,0.04037040979364625,0.02296535789578728,0.03396366739663814,0.1738039906808722,0.6802290174713539,0.01622721345490173,0.7608716216600275,0.03323439875733481,0.03525088982312612,0.02121162888224375,0.02587594766998168,0.04983506913115854,0.017431605595785347,0.03620643448754105,0.44485091533593524,0.0007930637972596145,0.125974340925006,0.054184575816094004,0.011375220505356694,0.014446628377867065,0.58274895279094,0.016522137133692816,0.01692100481432478
6,0.08368739711564827,0.05492414754870412,0.02300542832792761,0.03244356660553698,0.21246284656577977,0.05092994642847051,0.017417009976681583,0.6147773700101704,0.03844276649984881,0.051901569388361074,0.022354546554195283,0.02586974925106494,0.5819212995282291,0.019555700407975243,0.031285246753264676,0.12979572757179433,0.0007930637862936922,0.19453817782639393,0.08849884520799944,0.011636072242987634,0.016828192132853054,0.3154571271386854,0.018094319237319387,0.019494690318208076
7,0.046669228475687476,0.04370581828970158,0.02440251067923465,0.03615315645335113,0.28857938532347255,0.04787851591050401,0.027274419161189487,0.25189542179446583,0.03542555554742536,0.1136228510751326,0.023798261959365987,0.038602837584859884,0.8676564640571773,0.016932999671144602,0.029966453862170308,0.18963168488144652,0.0007930638479266206,0.13227585686577484,0.746136299945069,0.011414605224402706,0.01412409642138124,0.22206463388959566,0.01699449912952708,0.018532635719790625
9,0.095255760524174,0.05128825972691648,0.026946615244503754,0.0696714000081497,0.27900948119480234,0.2032297469999888,0.09322503739360077,0.5048902885708203,0.03775143324064759,0.03681465733543737,0.020342601250634355,0.03314812910240366,0.03473816158283187,0.06973754840068815,0.029335922762204647,0.055569411084579384,0.0007930638926629258,0.1053299941001619,0.04016956771477911,0.012061038296793043,0.018610840827058016,0.14800896055776708,0.01882196002011318,0.022629283198826868
11,0.08308077191383831,0.08520409338535635,0.02894283884068591,0.11289212901136145,0.20708139586622973,0.056125096965902774,0.3413146362007343,0.4577199748021172,0.058097744093711615,0.06397886078719271,0.02044224112191645,0.04064875307578192,0.030115599855844187,0.15741118909875093,0.030067041268242552,0.03459369799563609,0.0007930638993741649,0.1318442924523258,0.029325790539482855,0.012397354874218952,0.01755104094131347,0.07402383791200115,0.01865399314095792,0.02069672036093434
13,0.2540066023138526,0.04686677319592619,0.023693860786610392,0.03115737557981248,0.4070951296216341,0.500628130307103,0.01603534690134454,0.45694007799951253,0.03624421092976182,0.0415654501317402,0.024513256949790747,0.0259864155330764,0.03452660146050023,0.0169807271839013,0.027816968968291847,0.04563140015285684,0.0007930638567268528,0.10968729302683566,0.08858469315504922,0.011458812792713161,0.013707860822603422,0.42529680997647074,0.01665923579208476,0.017240025332480483
16,0.05387042975204781,0.04790238980961095,0.02311232181484115,0.04293214064465283,0.2305541045145368,0.051024707722085644,0.0199214983686565,0.7700959824055077,0.03440398764861576,0.04091678190087969,0.02109786440523763,0.03734452832377186,0.0346245455218446,0.018248799477522632,0.028985109438137282,0.05479486628846764,0.0007930638124530243,0.33910305846108496,0.02451091666170988,0.011389169405596165,0.013472858376715639,0.11321386441527319,0.03707239310730962,0.01748405181341324
21,0.0881693419614131,0.15437467790512457,0.028533443451705384,0.05211289821383406,0.39576272515478217,0.11782683383508659,0.019037940885029445,0.5766252180501782,0.09124288242799254,0.07702127667343908,0.020260981651067735,0.03579980168205674,0.1526104682212176,0.01938882697513881,0.030415864891458116,0.055898644045774215,0.0007930638207469937,0.3636851782385376,0.06175154266516674,0.011938792875570124,0.01597577888903996,0.06691852944854793,0.018035321147694648,0.020496837730337215
22,0.04200430507605558,0.2002553633950224,0.031035013115794114,0.03266467321330312,0.38236080087433466,0.03295548929738912,0.016132993654378015,0.4021406463113716,0.060182972776043814,0.38072029807824836,0.02288911753584296,0.027724494822984662,0.09909782038876085,0.01713584578025135,0.0337377475778636,0.04669666213385663,0.0007930637942478557,0.39062093466930825,0.057692551638328336,0.011390729158038085,0.013628343894240048,0.11554715670974361,0.016501344500725344,0.019459116962010792
24,0.2619749776325571,0.05514557025986304,0.023985484297934567,0.031047522781623423,0.4070731092460679,0.7842480854455025,0.016020966429692206,0.3010794620754121,0.044594419743223694,0.05894250246804926,0.02203871907517096,0.025718862890285268,0.07320587208532431,0.016744185775244058,0.026568231359900354,0.16798054619120364,0.0007930637865434164,0.10301552192039849,0.07729499987673995,0.011371633138426731,0.014136854025633078,0.6352314993980046,0.01745075388952616,0.016861052151229114
25,0.07391531714353893,0.14377505018536405,0.023578511077631936,0.03423675542511779,0.3819384388788828,0.055454136414247936,0.015957080518583897,0.5246891510766367,0.04796665869404749,0.037790322942061666,0.019783140491589257,0.026236162372624695,0.03192615793729966,0.01718756277446009,0.03965902399487971,0.03807336374028794,0.0007930637919123765,0.13507151279427998,0.030694460059185136,0.01138125645304616,0.01575069244819169,0.09454975615124386,0.016782214361088163,0.24936935378801306
