ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
1,0.04701547504317007,0.07687717843328805,0.026625468152860987,0.03574604413477726,0.48386077662910765,0.04893405503312414,0.016215384893467272,0.6107973568306856,0.03733271756144909,0.10494366738792542,0.020288959671872272,0.0368115107283501,0.0671373344692026,0.040251648919992805,0.03862471802133855,0.08075500998298416,0.0007930608516427258,0.6901006653598272,0.04797981561896091,0.014008514352887165,0.013573829167255648,0.07802871999518877,0.026318457513808013,0.018676736787220587
4,0.17339307462671744,0.058274765214918506,0.026694594628936398,0.09206845456416263,0.2044403929371039,0.3353999175679249,0.11573005658629087,0.584874986972512,0.03681989196391682,0.037353981067416143,0.020097586490536206,0.03275711408316452,0.022455503295863426,0.019328335066105023,0.028282106266422163,0.04615816635166644,0.0007930608360395469,0.11494506022099585,0.02225868004279709,0.01144520177390274,0.014669518542236878,0.15194531830643185,0.0306931285587158,0.021841281063718642
5,0.05536168511673259,0.03564061342156046,0.023473446457122956,0.03239342435475597,0.16952379119750136,0.7262654831536856,0.015601479600216296,0.7842639007475141,0.034711437051531874,0.03475475800004806,0.021950127993059378,0.026768354078744828,0.08949813836397419,0.016530443050294382,0.0380586228721006,0.4270192112052805,0.0007930608124758491,0.11076871110280259,0.0617674671351108,0.0113977735027041,0.014762750065362297,0.6920181342620951,0.015224438312308373,0.01738049528055215
6,0.0685713313272497,0.05219430717520696,0.023588405564810653,0.03260481337175811,0.2327375312999441,0.04760209584299465,0.018924471051525213,0.5989135112453615,0.04184468028771161,0.05975424999215003,0.02248366194627102,0.027031513092745266,0.4424393484568092,0.019591534997424102,0.032257161925873766,0.14622891807762584,0.0007930607949919385,0.190324301553162,0.10878787192525328,0.011661858813191655,0.022803799382234428,0.25097847287441555,0.016655037006276095,0.02082197394440148
7,0.04013513027708046,0.040168838131982874,0.025250697439100418,0.03532840061060558,0.21945979971984597,0.044710513930186546,0.02989494036936362,0.27801830425383195,0.03806280924062752,0.09339999160215652,0.02324781331724323,0.04139850202108707,0.9066523884534331,0.016562755636552948,0.029397196906068814,0.2160855845909613,0.0007930608949260503,0.1269664537742834,0.8127475208835092,0.011411252333127576,0.014644551900721954,0.24473849730932873,0.015631383492826098,0.018937245966367967
9,0.08536777218990454,0.04373494002346089,0.02890917045697073,0.0749157741511146,0.26736100183217815,0.17666234603405115,0.09587302303793671,0.4548325795536067,0.036882482839765876,0.03557161708350608,0.019825770595232058,0.031481422702232156,0.0341696552157892,0.0737478362936857,0.03073871976583957,0.042360735434805286,0.0007930609811056681,0.10046420301916527,0.037302098527996715,0.012023586392441436,0.022145690488007058,0.11263160765665406,0.01624380697655704,0.025041787181990006
11,0.05611217652660267,0.0932596804075567,0.027880810532196963,0.11369870733481345,0.240634108674951,0.05049666141209,0.3694648430123412,0.45037639954768083,0.05911150449937007,0.07606654920642421,0.020158424867444416,0.03673560565977274,0.025283317639107065,0.14269601208362973,0.028976246265344854,0.031193482586526794,0.0007930612620316096,0.12293075674619225,0.028451868207557275,0.01227744084093278,0.01775590557373026,0.06843382598109642,0.016690308765022255,0.020492414985087127
13,0.308571136872719,0.03768460453050474,0.024989340009897807,0.02954089445025139,0.40765404191138316,0.6217917615906389,0.015701656899958755,0.4150578373388805,0.03532394289086006,0.039399747669225424,0.023227012692413264,0.026658107637911335,0.03262708933936741,0.016352005467317902,0.028143753225004522,0.04386549324323815,0.0007930609371681331,0.11135781771620865,0.08773181794399795,0.011416291704892513,0.013671690516020938,0.5196185190683101,0.015294700628771736,0.017334354285735123
16,0.045412607716503864,0.0421446029407428,0.02373479596601902,0.04261140493813995,0.2950556183750917,0.049487463548225814,0.020027211314673953,0.7820794880061118,0.0323144884134083,0.03848010054415811,0.020906367652186206,0.03990234433905464,0.02947866855505697,0.017873102174509287,0.028104863460421618,0.05179315099886122,0.0007930608457976548,0.3445522018138282,0.022249676648417368,0.01140374669765727,0.01352091144405943,0.11006551103724019,0.03812108004855657,0.018486757507728904
21,0.07886587552127708,0.12761380661322327,0.0281545229232325,0.05224802469318715,0.44226017346148383,0.09490384957758584,0.019858508258832994,0.5650864079176781,0.104327720023604,0.08049803255898821,0.019966844227409897,0.03767001259617281,0.1813195185974468,0.01873382878936067,0.03298979758115447,0.05247076546703951,0.0007930608690776882,0.3514700532806194,0.060663195785188154,0.011949568377651478,0.016657497969488438,0.0631044309130008,0.016508950067357586,0.024817616770043332
